serginho;serginho;21; ;brasilia;rock n roll;false;false;pansexual;null;basquete;false;true;D;true;gosto de cachoeira e natureza;0;false
marco;marco;22; ;rio de janeiro;rock;true;true;Hétero;null;Futebol;true;true;N;true;gosto de sair;0;false
julia;julia;20; ;sao paulo;pop;false;true;Lésbica;null;Dançar;true;false;D;true;gosto de festas;0;true
pedro;pedro;30; ;curitiba;rock;false;true;Pansexual;null;Jogar videogame;true;true;D;true;gosto de tecnologia;0;false
camila;camila;19; ;porto alegre;sertanejo;true;false;Hétero;null;Leitura;true;true;N;true;gosto de sair com amigos;0;false
roberto;roberto;23; ;florianopolis;eletronica;true;true;Gay;null;Fotografia;false;true;D;true;gosto de festas;0;false
larissa;larissa;24; ;salvador;rap;false;false;Hétero;null;Academia;true;true;N;true;gosto de esportes radicais;0;false
andre;andre;26; ;manaus;reggae;true;true;Transexual;null;Viajar;false;true;D;true;gosto de praia;0;false
joao;joao;29; ;sao paulo;pop;true;false;Hétero;null;Caminhada;true;true;D;true;gosto de comida japonesa;0;false
mariana;mariana;22; ;belo horizonte;indie;false;true;Pansexual;null;Futebol;true;false;N;true;gosto de arte;0;false
felipe;felipe;20; ;curitiba;jazz;false;true;Hétero;null;Correr;true;false;D;true;gosto de ler;0;false
aline;aline;24; ;porto alegre;eletronica;true;false;Lésbica;null;Viajar;true;true;N;true;gosto de fotografia;0;false
ricardo;ricardo;31; ;florianopolis;rap;true;true;Pansexual;null;Jogar videogame;true;true;D;true;gosto de cinema;0;false
luana;luana;19; ;salvador;mpb;false;false;Hétero;null;Cozinhar;true;true;D;false;gosto de história;0;false
pedro;pedro;23; ;sao paulo;rock;true;false;Transexual;null;Caminhada;false;true;N;true;gosto de viajar;0;false
thais;thais;20; ;belo horizonte;indie;true;false;Lésbica;null;Dançar;true;true;D;false;gosto de cinema;0;false
rafael;rafael;28; ;porto alegre;sertanejo;false;true;Gay;null;Academia;true;false;D;true;gosto de cozinhar;0;false
gabriela;gabriela;25; ;rio de janeiro;jazz;true;true;Pansexual;null;Futebol;false;true;N;true;gosto de natureza;0;false
matheus;matheus;27; ;sao paulo;pop;true;false;Hétero;null;Academia;true;true;D;true;gosto de esporte;0;false
diana;diana;26; ;curitiba;eletronica;true;false;Transexual;null;Leitura;false;true;N;true;gosto de música;0;false
fernando;fernando;29; ;florianopolis;rock;true;false;Gay;null;Cozinhar;true;true;D;false;gosto de viajar pelo mundo;0;false
henrique;henrique;23; ;recife;jazz;true;true;Pansexual;null;Viajar;true;false;D;true;gosto de acampamentos;0;false
lara;lara;22; ;salvador;rap;false;true;Lésbica;null;Fotografia;true;true;N;true;gosto de festa;0;false
